p1	p2	rg	se	z	p
A09	C18	-1.013	1.092	-0.9279	0.3535
A09	C34	-0.07082	0.6842	-0.1035	0.9176
C18	C34	0.2104	0.2572	0.818	0.4133
A09	C43	-0.08575	0.6283	-0.1365	0.8914
C18	C43	-0.1396	0.2161	-0.646	0.5183
C34	C43	-0.3188	0.2934	-1.086	0.2773
A09	C44	0.4585	0.4682	0.9791	0.3275
C18	C44	-0.02444	0.1115	-0.2193	0.8265
C34	C44	0.05157	0.1357	0.3799	0.704
C43	C44	0.5355	0.1629	3.287	0.001011
A09	C50	0.1541	0.3339	0.4615	0.6444
C18	C50	0.3687	0.1552	2.376	0.01751
C34	C50	-0.07175	0.1575	-0.4556	0.6487
C43	C50	-0.1797	0.1742	-1.031	0.3024
C44	C50	0.1214	0.06365	1.908	0.05638
A09	C67	-1.556	1.641	-0.9477	0.3433
C18	C67	0.07337	0.2621	0.28	0.7795
C34	C67	0.3007	0.3284	0.9158	0.3598
C43	C67	0.1965	0.3283	0.5985	0.5495
C44	C67	0.05753	0.1365	0.4214	0.6735
C50	C67	0.04083	0.1636	0.2496	0.8029
A09	D12	0.09282	0.3216	0.2886	0.7729
C18	D12	0.7175	0.1479	4.851	1.226e-06
C34	D12	0.1065	0.1564	0.6808	0.496
C43	D12	0.07456	0.1571	0.4745	0.6351
C44	D12	0.02153	0.07149	0.3011	0.7633
C50	D12	0.1093	0.09087	1.203	0.229
C67	D12	0.1494	0.1571	0.9506	0.3418
A09	D17	0.8254	0.9505	0.8684	0.3852
C18	D17	-0.181	0.2349	-0.7707	0.4409
C34	D17	0.3573	0.3142	1.137	0.2556
C43	D17	0.1439	0.2723	0.5285	0.5972
C44	D17	-0.03867	0.1371	-0.282	0.778
C50	D17	0.2556	0.1633	1.565	0.1175
C67	D17	0.3386	0.3101	1.092	0.2748
D12	D17	0.37	0.1876	1.972	0.04858
A09	D22	-0.68	1.007	-0.6752	0.4996
C18	D22	0.3115	0.3661	0.851	0.3948
C34	D22	0.03722	0.3838	0.09697	0.9228
C43	D22	0.5635	0.384	1.468	0.1422
C44	D22	0.5946	0.2693	2.208	0.02727
C50	D22	0.1082	0.2074	0.5218	0.6018
C67	D22	0.06714	0.4864	0.138	0.8902
D12	D22	0.4682	0.3054	1.533	0.1253
D17	D22	-0.1754	0.3952	-0.4439	0.6571
A09	D23	0.1765	0.6545	0.2697	0.7874
C18	D23	-0.3118	0.2677	-1.165	0.244
C34	D23	-0.09251	0.3468	-0.2667	0.7897
C43	D23	0.7634	0.3899	1.958	0.05024
C44	D23	0.4378	0.1763	2.483	0.01303
C50	D23	0.2632	0.2024	1.3	0.1934
C67	D23	-0.1041	0.3809	-0.2732	0.7847
D12	D23	-0.01513	0.1616	-0.09368	0.9254
D17	D23	0.5511	0.3513	1.569	0.1167
D22	D23	1.095	0.6925	1.581	0.1139
A09	D50	0.6028	0.7523	0.8012	0.423
C18	D50	0.04953	0.1968	0.2517	0.8013
C34	D50	0.4617	0.2781	1.66	0.09694
C43	D50	0.3684	0.2417	1.525	0.1274
C44	D50	0.1017	0.109	0.9331	0.3508
C50	D50	-0.1656	0.1322	-1.253	0.2102
C67	D50	-0.1454	0.2663	-0.5461	0.585
D12	D50	0.2667	0.1365	1.953	0.05081
D17	D50	0.305	0.2372	1.286	0.1986
D22	D50	-0.2381	0.3121	-0.7629	0.4455
D23	D50	-0.3588	0.2569	-1.397	0.1626
A09	D64	0.2809	0.8428	0.3333	0.7389
C18	D64	0.1782	0.3231	0.5515	0.5813
C34	D64	0.7911	0.4134	1.913	0.05569
C43	D64	0.1865	0.385	0.4845	0.628
C44	D64	-0.1988	0.1841	-1.08	0.28
C50	D64	0.3915	0.2183	1.793	0.07298
C67	D64	0.00809	0.3982	0.02032	0.9838
D12	D64	0.3507	0.2144	1.636	0.1019
D17	D64	0.1559	0.3978	0.3919	0.6951
D22	D64	0.2105	0.5489	0.3835	0.7014
D23	D64	-0.07362	0.4292	-0.1715	0.8638
D50	D64	1.192	0.3924	3.038	0.002382
A09	G47	0.6721	0.7313	0.9191	0.3581
C18	G47	-0.2233	0.1725	-1.294	0.1956
C34	G47	0.1956	0.204	0.959	0.3376
C43	G47	0.2784	0.2235	1.246	0.2129
C44	G47	-0.08819	0.09771	-0.9026	0.3667
C50	G47	0.05877	0.1066	0.5514	0.5814
C67	G47	0.3219	0.203	1.586	0.1127
D12	G47	0.2217	0.1047	2.117	0.0343
D17	G47	0.3406	0.21	1.622	0.1049
D22	G47	0.5635	0.4036	1.396	0.1626
